Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Afghanistan,0.6980730883201702,0.616262474905945,2020-01-23,0,0,0,1.0,0.5
Albania,0.7750900450295994,0.46410570133535156,2020-01-23,0,0,0,1.0,0.5
Algeria,0.6511627687299801,0.40128800593263336,2020-01-23,0,0,0,1.0,0.5
Andorra,0.7878706298759632,0.40082031892995384,2020-01-23,0,0,0,1.0,0.5
Angola,0.2805295866288445,0.45631861092208664,2020-01-23,0,0,0,1.0,0.5
Antigua and Barbuda,0.5475096751766659,0.18592119575823499,2020-01-23,0,0,0,1.0,0.5
Argentina,0.023468856652469172,0.17974317942312942,2020-01-23,0,0,0,1.0,0.5
Armenia,0.7648485741571474,0.5485130234539262,2020-01-23,0,0,0,1.0,0.5
Australia,0.05126497562431692,0.9013967821912392,2020-01-23,0,0,0,1.0,0.5
Austria,0.835194689019938,0.44503778320433474,2020-01-23,0,0,0,1.0,0.5
Azerbaijan,0.7655475861886558,0.5571292570802144,2020-01-23,0,0,0,1.0,0.5
Bahamas,0.6228282215717003,0.13297583673718738,2020-01-23,0,0,0,1.0,0.5
Bahrain,0.6322100965675677,0.5672198247701019,2020-01-23,0,0,0,1.0,0.5
Bangladesh,0.6100825873269119,0.7023206167495074,2020-01-23,0,0,0,1.0,0.5
Barbados,0.5109825180869363,0.19356845522439978,2020-01-23,0,0,0,1.0,0.5
Belarus,0.8937001068354876,0.4905279806137288,2020-01-23,0,0,0,1.0,0.5
Belgium,0.8665283756377304,0.40923121827712655,2020-01-23,0,0,0,1.0,0.5
Belize,0.5109825180869363,0.19356845522439978,2020-01-23,0,0,0,1.0,0.5
Benin,0.4742730511025026,0.4035151192211552,2020-01-23,0,0,0,1.0,0.5
Bhutan,0.6462536261249134,0.7025829694730714,2020-01-23,0,0,0,1.0,0.5
Bolivia,0.23247250946263925,0.17983821016387708,2020-01-23,0,0,0,1.0,0.5
Bosnia and Herzegovina,0.8011858644653456,0.4556574684828851,2020-01-23,0,0,0,1.0,0.5
